FRMLRY_ALT_SK,FRMLRY_ID,TRGT_NDC,TRGT_GPI,TRGT_LBL_NM,TRGT_PROD_SK,ALT_PROXY_NDC,ALT_GPI,ALT_LBL_NM,ALT_PROD_SK,ALT_SEQ_NBR,THRPC_GROUP,COST_SAVINGS_FLG,FRMLRY_FROM_DT,FRMLRY_THRU_DT
9000001,FRM0005,00071015623,2210001000,Lisinopril 10mg,1001,00069153041,2230001000,Amlodipine 5mg,1002,1,ACE_BB_CCB,N,2022-06-28,2025-03-08
9000002,FRM0010,00071015623,2210001000,Lisinopril 10mg,1001,00378526001,2210201000,Metoprolol 25mg,1003,2,ACE_BB_CCB,N,2022-03-13,2026-07-07
9000003,FRM0002,00071015623,2210001000,Lisinopril 10mg,1001,00093084101,2220001000,Hydrochlorothiazide 25mg,1030,3,ACE_BB_CCB,Y,2022-07-10,2026-03-01
9000004,FRM0001,00069153041,2230001000,Amlodipine 5mg,1002,00071015623,2210001000,Lisinopril 10mg,1001,1,ACE_BB_CCB,Y,2022-09-28,2026-11-19
9000005,FRM0001,00069153041,2230001000,Amlodipine 5mg,1002,00378526001,2210201000,Metoprolol 25mg,1003,2,ACE_BB_CCB,Y,2022-06-12,2027-01-16
9000006,FRM0006,00069153041,2230001000,Amlodipine 5mg,1002,00093084101,2220001000,Hydrochlorothiazide 25mg,1030,3,ACE_BB_CCB,Y,2021-04-24,2027-02-24
9000007,FRM0006,00378526001,2210201000,Metoprolol 25mg,1003,00071015623,2210001000,Lisinopril 10mg,1001,1,ACE_BB_CCB,Y,2022-04-22,2025-03-25
9000008,FRM0009,00378526001,2210201000,Metoprolol 25mg,1003,00069153041,2230001000,Amlodipine 5mg,1002,2,ACE_BB_CCB,N,2022-01-11,2025-12-25
9000009,FRM0009,00378526001,2210201000,Metoprolol 25mg,1003,00093084101,2220001000,Hydrochlorothiazide 25mg,1030,3,ACE_BB_CCB,Y,2022-12-23,2025-05-18
9000010,FRM0003,00093084101,2220001000,Hydrochlorothiazide 25mg,1030,00071015623,2210001000,Lisinopril 10mg,1001,1,ACE_BB_CCB,N,2022-12-28,2026-02-24
9000011,FRM0009,00093084101,2220001000,Hydrochlorothiazide 25mg,1030,00069153041,2230001000,Amlodipine 5mg,1002,2,ACE_BB_CCB,N,2021-12-09,2026-05-04
9000012,FRM0010,00093084101,2220001000,Hydrochlorothiazide 25mg,1030,00378526001,2210201000,Metoprolol 25mg,1003,3,ACE_BB_CCB,N,2021-04-27,2027-09-07
9000013,FRM0004,00071015820,3940001000,Atorvastatin 20mg,1004,00310075030,3940001100,Rosuvastatin 10mg,1005,1,Statin,N,2022-12-21,2026-03-06
9000014,FRM0005,00310075030,3940001100,Rosuvastatin 10mg,1005,00071015820,3940001000,Atorvastatin 20mg,1004,1,Statin,Y,2021-11-25,2026-12-24
9000015,FRM0005,00093107601,2710001000,Metformin 500mg,1006,00049262066,2710201000,Glipizide 5mg,1007,1,Diabetes_oral,N,2022-05-31,2027-05-17
9000016,FRM0006,00093107601,2710001000,Metformin 500mg,1006,00006043254,2710401000,Sitagliptin 100mg,1008,2,Diabetes_oral,N,2021-02-25,2025-05-10
9000017,FRM0008,00093107601,2710001000,Metformin 500mg,1006,00597003010,2710501000,Empagliflozin 10mg,1009,3,Diabetes_oral,N,2021-12-20,2027-07-16
9000018,FRM0002,00049262066,2710201000,Glipizide 5mg,1007,00093107601,2710001000,Metformin 500mg,1006,1,Diabetes_oral,Y,2022-05-29,2027-12-15
9000019,FRM0009,00049262066,2710201000,Glipizide 5mg,1007,00006043254,2710401000,Sitagliptin 100mg,1008,2,Diabetes_oral,N,2022-04-27,2027-12-26
9000020,FRM0010,00049262066,2710201000,Glipizide 5mg,1007,00597003010,2710501000,Empagliflozin 10mg,1009,3,Diabetes_oral,N,2021-10-27,2027-07-15
9000021,FRM0004,00006043254,2710401000,Sitagliptin 100mg,1008,00093107601,2710001000,Metformin 500mg,1006,1,Diabetes_oral,Y,2022-01-12,2025-05-15
9000022,FRM0002,00006043254,2710401000,Sitagliptin 100mg,1008,00049262066,2710201000,Glipizide 5mg,1007,2,Diabetes_oral,Y,2022-04-14,2025-06-28
9000023,FRM0005,00006043254,2710401000,Sitagliptin 100mg,1008,00597003010,2710501000,Empagliflozin 10mg,1009,3,Diabetes_oral,N,2022-02-05,2026-01-02
9000024,FRM0003,00597003010,2710501000,Empagliflozin 10mg,1009,00093107601,2710001000,Metformin 500mg,1006,1,Diabetes_oral,Y,2021-03-20,2025-08-12
9000025,FRM0003,00597003010,2710501000,Empagliflozin 10mg,1009,00049262066,2710201000,Glipizide 5mg,1007,2,Diabetes_oral,Y,2021-10-10,2025-08-18
9000026,FRM0004,00597003010,2710501000,Empagliflozin 10mg,1009,00006043254,2710401000,Sitagliptin 100mg,1008,3,Diabetes_oral,Y,2022-05-24,2025-11-05
9000027,FRM0005,00597001510,2710401100,Linagliptin 5mg,1038,00093107601,2710001000,Metformin 500mg,1006,1,Diabetes_oral,Y,2022-06-18,2025-02-16
9000028,FRM0008,00597001510,2710401100,Linagliptin 5mg,1038,00049262066,2710201000,Glipizide 5mg,1007,2,Diabetes_oral,Y,2022-03-03,2025-09-28
9000029,FRM0008,00597001510,2710401100,Linagliptin 5mg,1038,00006043254,2710401000,Sitagliptin 100mg,1008,3,Diabetes_oral,N,2021-12-22,2027-05-11
9000030,FRM0005,50458060010,2710501100,Canagliflozin 100mg,1039,00093107601,2710001000,Metformin 500mg,1006,1,Diabetes_oral,Y,2022-10-23,2025-02-13
9000031,FRM0001,50458060010,2710501100,Canagliflozin 100mg,1039,00049262066,2710201000,Glipizide 5mg,1007,2,Diabetes_oral,Y,2021-07-13,2025-05-09
9000032,FRM0006,50458060010,2710501100,Canagliflozin 100mg,1039,00006043254,2710401000,Sitagliptin 100mg,1008,3,Diabetes_oral,Y,2021-08-26,2027-12-01
9000033,FRM0006,00169275030,2710301000,Pioglitazone 30mg,1040,00093107601,2710001000,Metformin 500mg,1006,1,Diabetes_oral,Y,2022-02-26,2026-12-04
9000034,FRM0009,00169275030,2710301000,Pioglitazone 30mg,1040,00049262066,2710201000,Glipizide 5mg,1007,2,Diabetes_oral,Y,2022-05-13,2027-12-22
9000035,FRM0005,00169275030,2710301000,Pioglitazone 30mg,1040,00006043254,2710401000,Sitagliptin 100mg,1008,3,Diabetes_oral,N,2022-04-01,2027-07-27
9000036,FRM0005,00093312805,4920001000,Omeprazole 20mg,1011,00093315305,4920001100,Pantoprazole 40mg,1012,1,PPI,N,2022-08-04,2025-09-28
9000037,FRM0004,00093315305,4920001100,Pantoprazole 40mg,1012,00093312805,4920001000,Omeprazole 20mg,1011,1,PPI,Y,2021-06-25,2026-06-17
9000038,FRM0005,00049493066,6010001000,Sertraline 50mg,1013,00456213003,6010001100,Escitalopram 10mg,1014,1,SSRI_SNRI,N,2022-05-11,2027-02-01
9000039,FRM0006,00049493066,6010001000,Sertraline 50mg,1013,00002322230,6010101000,Duloxetine 30mg,1015,2,SSRI_SNRI,N,2021-02-18,2025-10-31
9000040,FRM0003,00049493066,6010001000,Sertraline 50mg,1013,00008443901,6010101100,Venlafaxine 75mg,1041,3,SSRI_SNRI,N,2021-10-19,2027-07-23
9000041,FRM0009,00456213003,6010001100,Escitalopram 10mg,1014,00049493066,6010001000,Sertraline 50mg,1013,1,SSRI_SNRI,Y,2022-09-26,2025-11-26
9000042,FRM0003,00456213003,6010001100,Escitalopram 10mg,1014,00002322230,6010101000,Duloxetine 30mg,1015,2,SSRI_SNRI,N,2021-10-20,2026-01-09
9000043,FRM0003,00456213003,6010001100,Escitalopram 10mg,1014,00008443901,6010101100,Venlafaxine 75mg,1041,3,SSRI_SNRI,N,2022-12-27,2025-11-11
9000044,FRM0001,00002322230,6010101000,Duloxetine 30mg,1015,00049493066,6010001000,Sertraline 50mg,1013,1,SSRI_SNRI,Y,2021-09-01,2025-08-28
9000045,FRM0008,00002322230,6010101000,Duloxetine 30mg,1015,00456213003,6010001100,Escitalopram 10mg,1014,2,SSRI_SNRI,Y,2021-11-21,2025-09-17
9000046,FRM0003,00002322230,6010101000,Duloxetine 30mg,1015,00008443901,6010101100,Venlafaxine 75mg,1041,3,SSRI_SNRI,Y,2021-09-24,2027-01-28
9000047,FRM0006,00008443901,6010101100,Venlafaxine 75mg,1041,00049493066,6010001000,Sertraline 50mg,1013,1,SSRI_SNRI,Y,2021-07-30,2025-03-13
9000048,FRM0006,00008443901,6010101100,Venlafaxine 75mg,1041,00456213003,6010001100,Escitalopram 10mg,1014,2,SSRI_SNRI,Y,2021-12-19,2025-10-30
9000049,FRM0009,00008443901,6010101100,Venlafaxine 75mg,1041,00002322230,6010101000,Duloxetine 30mg,1015,3,SSRI_SNRI,N,2022-04-05,2025-11-29
9000050,FRM0001,00173017400,6010201000,Bupropion 150mg,1042,00049493066,6010001000,Sertraline 50mg,1013,1,SSRI_SNRI,Y,2021-11-05,2025-09-06
