PLN_DRG_STAT_SK,PLN_SK,PROD_SK,PLN_DRG_STAT_CD,PLN_DRG_STAT_DESC,PLN_DRG_STAT_GRP_CD,PLN_DRG_STAT_GRP_DESC,FORMULARY_TIER,PA_REQUIRED_FLG,STEP_THERAPY_FLG,QUANTITY_LIMIT,EFF_DT,TERM_DT
30101018,3010,1018,COV,Covered,ACTIVE,Covered under plan formulary,3,N,N,,2023-01-01,2026-12-31
30021016,3002,1016,ST,Step Therapy Required,RESTRICTED,Step therapy required,3,N,Y,,2023-01-01,2026-12-31
30081033,3008,1033,NF,Non-Formulary,RESTRICTED,Non-formulary copay applies,1,N,N,,2023-01-01,2026-12-31
30071023,3007,1023,EX,Excluded,INACTIVE,Excluded from formulary,3,N,N,,2023-01-01,2026-12-31
30081045,3008,1045,COV,Covered,ACTIVE,Covered under plan formulary,3,N,N,,2023-01-01,2026-12-31
30011050,3001,1050,QL,Quantity Limit,RESTRICTED,Monthly quantity limit applies,3,N,N,30,2023-01-01,2026-12-31
30091001,3009,1001,COV,Covered,ACTIVE,Covered under plan formulary,3,N,N,,2023-01-01,2026-12-31
30031013,3003,1013,ST,Step Therapy Required,RESTRICTED,Step therapy required,3,N,Y,,2023-01-01,2026-12-31
30101033,3010,1033,COV,Covered,ACTIVE,Covered under plan formulary,3,N,N,,2023-01-01,2026-12-31
30031012,3003,1012,COV,Covered,ACTIVE,Covered under plan formulary,3,N,N,,2023-01-01,2026-12-31
30021037,3002,1037,NF,Non-Formulary,RESTRICTED,Non-formulary copay applies,1,N,N,,2023-01-01,2026-12-31
30061042,3006,1042,NF,Non-Formulary,RESTRICTED,Non-formulary copay applies,5,N,N,,2023-01-01,2026-12-31
30071025,3007,1025,NF,Non-Formulary,RESTRICTED,Non-formulary copay applies,2,N,N,,2023-01-01,2026-12-31
30071007,3007,1007,COV,Covered,ACTIVE,Covered under plan formulary,4,N,N,,2023-01-01,2026-12-31
30031023,3003,1023,SP,Specialty Drug,ACTIVE,Specialty — additional requirements,3,N,N,,2023-01-01,2026-12-31
30021009,3002,1009,QL,Quantity Limit,RESTRICTED,Monthly quantity limit applies,3,N,N,30,2023-01-01,2026-12-31
30081044,3008,1044,COV,Covered,ACTIVE,Covered under plan formulary,2,N,N,,2023-01-01,2026-12-31
30061013,3006,1013,COV,Covered,ACTIVE,Covered under plan formulary,1,N,N,,2023-01-01,2026-12-31
30101047,3010,1047,COV,Covered,ACTIVE,Covered under plan formulary,2,N,N,,2023-01-01,2026-12-31
