PROD_SK,PROD_ID,PIG_GNRC_NM,PIG_STRNGTH,PIG_STRNGTH_UOM_CD,PIG_ING_TYPE_CD,PIG_SEQ_NBR
1001,PROD1001,lisinopril,10.0,ML,ACTIVE,1
1002,PROD1002,amlodipine,10.0,GM,ACTIVE,1
1002,PROD1002,croscarmellose sodium,39.7,IU,INACTIVE,2
1003,PROD1003,metoprolol succinate,10.0,GM,ACTIVE,1
1004,PROD1004,atorvastatin,10.0,IU,ACTIVE,1
1005,PROD1005,rosuvastatin,10.0,GM,ACTIVE,1
1006,PROD1006,metformin,10.0,IU,ACTIVE,1
1006,PROD1006,povidone,116.2,ML,INACTIVE,2
1007,PROD1007,glipizide,10.0,MEQ,ACTIVE,1
1007,PROD1007,magnesium stearate,456.5,IU,INACTIVE,2
1008,PROD1008,sitagliptin,10.0,GM,ACTIVE,1
1009,PROD1009,empagliflozin,10.0,MCG,ACTIVE,1
1010,PROD1010,levothyroxine,10.0,MG,ACTIVE,1
1011,PROD1011,omeprazole,10.0,MG,ACTIVE,1
1012,PROD1012,pantoprazole,10.0,IU,ACTIVE,1
1013,PROD1013,sertraline,10.0,MCG,ACTIVE,1
1013,PROD1013,magnesium stearate,302.4,ML,INACTIVE,2
1014,PROD1014,escitalopram,10.0,GM,ACTIVE,1
1015,PROD1015,duloxetine,10.0,MCG,ACTIVE,1
1015,PROD1015,croscarmellose sodium,324.9,MCG,PRESERVATIVE,2
1016,PROD1016,alendronate,10.0,IU,ACTIVE,1
1017,PROD1017,risedronate,10.0,ML,ACTIVE,1
1018,PROD1018,albuterol,10.0,IU,ACTIVE,1
1019,PROD1019,fluticasone,10.0,MCG,ACTIVE,1
1020,PROD1020,montelukast,10.0,GM,ACTIVE,1
1021,PROD1021,warfarin,10.0,IU,ACTIVE,1
1022,PROD1022,apixaban,10.0,MCG,ACTIVE,1
1023,PROD1023,rivaroxaban,10.0,ML,ACTIVE,1
1024,PROD1024,clopidogrel,10.0,GM,ACTIVE,1
1025,PROD1025,aspirin,10.0,GM,ACTIVE,1
1026,PROD1026,gabapentin,10.0,IU,ACTIVE,1
1027,PROD1027,pregabalin,10.0,MEQ,ACTIVE,1
1028,PROD1028,celecoxib,10.0,MEQ,ACTIVE,1
1029,PROD1029,naproxen,10.0,IU,ACTIVE,1
1030,PROD1030,hydrochlorothiazide,10.0,IU,ACTIVE,1
1031,PROD1031,furosemide,10.0,MG,ACTIVE,1
1032,PROD1032,spironolactone,10.0,MEQ,ACTIVE,1
1033,PROD1033,carvedilol,10.0,IU,ACTIVE,1
1033,PROD1033,magnesium stearate,247.4,GM,INACTIVE,2
1034,PROD1034,sacubitril/valsartan,10.0,ML,ACTIVE,1
1035,PROD1035,amoxicillin,10.0,GM,ACTIVE,1
1035,PROD1035,microcrystalline cellulose,378.7,GM,INACTIVE,2
1036,PROD1036,azithromycin,10.0,MCG,ACTIVE,1
1037,PROD1037,doxycycline,10.0,MEQ,ACTIVE,1
1038,PROD1038,linagliptin,10.0,ML,ACTIVE,1
1039,PROD1039,canagliflozin,10.0,MCG,ACTIVE,1
1040,PROD1040,pioglitazone,10.0,GM,ACTIVE,1
1041,PROD1041,venlafaxine,10.0,IU,ACTIVE,1
1042,PROD1042,bupropion,10.0,MCG,ACTIVE,1
1042,PROD1042,microcrystalline cellulose,291.6,MEQ,PRESERVATIVE,2
