DRUG_PRICE_SK,PROD_SK,NDC,BASE_PRICE,DRUG_COST_PERCT_1,FEE_1,TAX_AMT,FINAL_COST,AWP_PRICE,WAC_PRICE,PRICE_EFF_FROM_DT,PRICE_EFF_THRU_DT,PRICING_SOURCE
5000001,1001,00071015623,12.5,0.8182,3.45,0.76,14.44,15.0,10.62,2023-01-01,2023-12-31,MAC
5000002,1001,00071015623,13.0,0.9007,4.22,0.35,16.28,15.6,11.05,2024-01-01,2024-12-31,AWP
5000003,1001,00071015623,13.5,0.8864,3.81,0.5,16.28,16.2,11.47,2025-01-01,2027-12-31,Negotiated
5000004,1002,00069153041,18.75,0.8153,4.03,0.59,19.91,22.5,15.94,2023-01-01,2023-12-31,Negotiated
5000005,1002,00069153041,19.5,0.8822,4.26,0.63,22.09,23.4,16.57,2024-01-01,2024-12-31,Negotiated
5000006,1002,00069153041,20.25,0.7386,3.81,1.48,20.25,24.3,17.21,2025-01-01,2027-12-31,WAC
5000007,1003,00378526001,14.0,0.8495,4.71,0.98,17.58,16.8,11.9,2023-01-01,2023-12-31,AWP
5000008,1003,00378526001,14.56,0.7781,3.47,0.99,15.79,17.47,12.38,2024-01-01,2024-12-31,Negotiated
5000009,1003,00378526001,15.12,0.7801,5.93,0.78,18.51,18.14,12.85,2025-01-01,2027-12-31,MAC
5000010,1004,00071015820,22.0,0.8883,3.85,0.49,23.88,26.4,18.7,2023-01-01,2023-12-31,AWP
5000011,1004,00071015820,22.88,0.8302,5.63,0.88,25.5,27.46,19.45,2024-01-01,2024-12-31,Negotiated
5000012,1004,00071015820,23.76,0.8026,3.59,1.28,23.94,28.51,20.2,2025-01-01,2027-12-31,MAC
5000013,1005,00310075030,28.5,0.7911,4.14,1.64,28.33,34.2,24.22,2023-01-01,2023-12-31,AWP
5000014,1005,00310075030,29.64,0.7428,4.48,0.4,26.9,35.57,25.19,2024-01-01,2024-12-31,WAC
5000015,1005,00310075030,30.78,0.8886,1.7,0.96,30.01,36.94,26.16,2025-01-01,2027-12-31,MAC
5000016,1006,00093107601,9.0,0.7828,4.76,0.51,12.32,10.8,7.65,2023-01-01,2023-12-31,Negotiated
5000017,1006,00093107601,9.36,0.8448,2.69,0.68,11.28,11.23,7.96,2024-01-01,2024-12-31,WAC
5000018,1006,00093107601,9.72,0.7622,1.85,0.72,9.98,11.66,8.26,2025-01-01,2027-12-31,MAC
5000019,1007,00049262066,11.0,0.8943,1.98,0.44,12.26,13.2,9.35,2023-01-01,2023-12-31,AWP
5000020,1007,00049262066,11.44,0.799,1.56,0.56,11.26,13.73,9.72,2024-01-01,2024-12-31,Negotiated
5000021,1007,00049262066,11.88,0.8584,5.41,0.86,16.47,14.26,10.1,2025-01-01,2027-12-31,Negotiated
5000022,1008,00006043254,145.0,0.7806,5.16,6.71,125.06,174.0,123.25,2023-01-01,2023-12-31,Negotiated
5000023,1008,00006043254,150.8,0.8809,1.89,1.53,136.26,180.96,128.18,2024-01-01,2024-12-31,WAC
5000024,1008,00006043254,156.6,0.7424,1.57,11.4,129.23,187.92,133.11,2025-01-01,2027-12-31,AWP
5000025,1009,00597003010,380.0,0.7618,4.42,18.52,312.42,456.0,323.0,2023-01-01,2023-12-31,Negotiated
5000026,1009,00597003010,395.2,0.8884,5.36,15.96,372.42,474.24,335.92,2024-01-01,2024-12-31,AWP
5000027,1009,00597003010,410.4,0.7802,3.59,14.59,338.37,492.48,348.84,2025-01-01,2027-12-31,AWP
5000028,1010,00378181177,8.5,0.7433,5.56,0.47,12.35,10.2,7.22,2023-01-01,2023-12-31,Negotiated
5000029,1010,00378181177,8.84,0.9128,3.62,0.57,12.26,10.61,7.51,2024-01-01,2024-12-31,WAC
5000030,1010,00378181177,9.18,0.7603,4.06,0.57,11.61,11.02,7.8,2025-01-01,2027-12-31,AWP
