PHR_SK,PHR_ID,PHR_NM,PHR_CHAIN_NM,ADDRESS,CITY,STATE_CD,ZIP_CD,PHR_TYPE,NPI,NCPDP_ID,PHONE,IS_SPECIALTY,IS_MAIL_ORDER,ACTV_FLG
4001,PHR004001,CVS Pharmacy #7821,CVS Health,123 Main St,Chicago,IL,60601,RETAIL,1602029048,8256240,(618) 476-9151,N,N,Y
4002,PHR004002,Walgreens #3445,Walgreens,456 Oak Ave,Chicago,IL,60602,RETAIL,1440398089,5580506,(591) 125-3942,N,N,Y
4003,PHR004003,Rite Aid #2901,Rite Aid,789 Pine Rd,Evanston,IL,60201,RETAIL,1574259410,4922352,(471) 760-2243,N,N,Y
4004,PHR004004,Walmart Pharmacy #1023,Walmart,321 Commerce Blvd,Aurora,IL,60505,RETAIL,1485573103,2382753,(501) 962-9220,N,N,Y
4005,PHR004005,Costco Pharmacy #559,Costco,555 Warehouse Dr,Naperville,IL,60540,RETAIL,1650605130,2311290,(483) 333-2612,N,N,Y
4006,PHR004006,NovaCare Specialty Rx,NovaCare,100 Medical Center Dr,Chicago,IL,60611,SPECIALTY,1227332770,2197032,(568) 139-9946,Y,N,Y
4007,PHR004007,CareMark Mail Order,CareMark,PO Box 1000,Phoenix,AZ,85001,MAIL_ORDER,1315077574,6599527,(401) 791-6394,N,Y,Y
4008,PHR004008,ExpressScripts Mail Rx,ESI,PO Box 2000,St Louis,MO,63101,MAIL_ORDER,1368460847,6078724,(963) 935-5496,N,Y,Y
4009,PHR004009,Jewel-Osco Pharmacy,Jewel-Osco,200 Grocery Lane,Oak Park,IL,60301,RETAIL,1304700754,3312992,(970) 833-9898,N,N,Y
4010,PHR004010,Target Pharmacy #812,Target,400 Shopper Way,Downers Grove,IL,60515,RETAIL,1380392053,1143174,(988) 406-5617,N,N,Y
4011,PHR004011,Advocate Trinity Pharmacy,Advocate Health,101 Hospital Rd,Chicago,IL,60628,HOSPITAL,1982947411,6815525,(613) 515-1194,N,N,Y
4012,PHR004012,Rush University Pharmacy,Rush Health,1700 W Harrison,Chicago,IL,60612,HOSPITAL,1606810427,9600788,(979) 252-7512,N,N,Y
4013,PHR004013,NorthShore Pharmacy,NorthShore Univ,2650 Ridge Ave,Evanston,IL,60201,HOSPITAL,1344360546,4807191,(940) 867-4438,N,N,Y
4014,PHR004014,Mariano's Pharmacy #44,Mariano's,600 Fresh Market Dr,Schaumburg,IL,60173,RETAIL,1609424194,4921224,(728) 701-8679,N,N,Y
4015,PHR004015,Osco Drug #330,Osco,750 Elmhurst Rd,Elk Grove,IL,60007,RETAIL,1875789582,8741026,(548) 910-2406,N,N,Y
4016,PHR004016,HealthDirect Specialty,HealthDirect,222 Specialty Ave,Indianapolis,IN,46201,SPECIALTY,1436161542,4151542,(639) 888-7843,Y,N,Y
4017,PHR004017,BioPlus Specialty Pharmacy,BioPlus,333 BioMed Pkwy,Orlando,FL,32801,SPECIALTY,1325039914,8359842,(660) 973-1493,Y,N,Y
4018,PHR004018,Hy-Vee Pharmacy #201,Hy-Vee,888 Midwest Blvd,Peoria,IL,61602,RETAIL,1502331243,3331197,(791) 994-3102,N,N,Y
4019,PHR004019,Jewel-Osco #88,Jewel-Osco,910 N Lake Shore,Waukegan,IL,60085,RETAIL,1428105366,1162422,(711) 929-6810,N,N,Y
4020,PHR004020,Aurora Pharmacy,Independent,12 Sunrise Dr,Bolingbrook,IL,60440,RETAIL,1464881354,4783105,(629) 535-7608,N,N,Y
