"PHR_SK","PROD_SK","CAN_DISPENSE_FLG","IN_STOCK_FLG","QTY_ON_HAND","EFF_DT","TERM_DT"
"4001","1001","Y","Y","31","2024-01-01","2029-12-31"
"4001","1002","Y","Y","31","2024-01-01","2029-12-31"
"4001","1003","Y","Y","31","2024-01-01","2029-12-31"
"4001","1008","Y","Y","31","2024-01-01","2029-12-31"
"4001","1011","Y","Y","31","2024-01-01","2029-12-31"
"4001","1018","Y","Y","31","2024-01-01","2029-12-31"
"4001","1021","Y","Y","31","2024-01-01","2029-12-31"
"4001","1033","Y","Y","31","2024-01-01","2029-12-31"
"4002","1001","Y","Y","32","2024-01-01","2029-12-31"
"4002","1002","Y","Y","32","2024-01-01","2029-12-31"
"4002","1003","Y","Y","32","2024-01-01","2029-12-31"
"4002","1008","Y","Y","32","2024-01-01","2029-12-31"
"4002","1011","Y","Y","32","2024-01-01","2029-12-31"
"4002","1018","Y","Y","32","2024-01-01","2029-12-31"
"4002","1021","Y","Y","32","2024-01-01","2029-12-31"
"4002","1033","Y","Y","32","2024-01-01","2029-12-31"
"4003","1001","Y","Y","33","2024-01-01","2029-12-31"
"4003","1002","Y","Y","33","2024-01-01","2029-12-31"
"4003","1003","Y","Y","33","2024-01-01","2029-12-31"
"4003","1008","Y","Y","33","2024-01-01","2029-12-31"
"4003","1011","Y","Y","33","2024-01-01","2029-12-31"
"4003","1018","Y","Y","33","2024-01-01","2029-12-31"
"4003","1021","Y","Y","33","2024-01-01","2029-12-31"
"4003","1033","Y","Y","33","2024-01-01","2029-12-31"
"4004","1001","Y","Y","34","2024-01-01","2029-12-31"
"4004","1002","Y","Y","34","2024-01-01","2029-12-31"
"4004","1003","Y","Y","34","2024-01-01","2029-12-31"
"4004","1008","Y","Y","34","2024-01-01","2029-12-31"
"4004","1011","Y","Y","34","2024-01-01","2029-12-31"
"4004","1018","Y","N","0","2024-01-01","2029-12-31"
"4004","1021","Y","Y","34","2024-01-01","2029-12-31"
"4004","1033","Y","N","0","2024-01-01","2029-12-31"
"4005","1001","Y","Y","35","2024-01-01","2029-12-31"
"4005","1002","Y","Y","35","2024-01-01","2029-12-31"
"4005","1003","Y","Y","35","2024-01-01","2029-12-31"
"4005","1008","Y","Y","35","2024-01-01","2029-12-31"
"4005","1011","Y","Y","35","2024-01-01","2029-12-31"
"4005","1018","Y","Y","35","2024-01-01","2029-12-31"
"4005","1021","Y","Y","35","2024-01-01","2029-12-31"
"4005","1033","Y","Y","35","2024-01-01","2029-12-31"
"4006","1001","Y","Y","36","2024-01-01","2029-12-31"
"4006","1002","Y","Y","36","2024-01-01","2029-12-31"
"4006","1003","Y","Y","36","2024-01-01","2029-12-31"
"4006","1008","Y","Y","36","2024-01-01","2029-12-31"
"4006","1011","Y","Y","36","2024-01-01","2029-12-31"
"4006","1018","Y","Y","36","2024-01-01","2029-12-31"
"4006","1021","Y","Y","36","2024-01-01","2029-12-31"
"4006","1033","Y","Y","36","2024-01-01","2029-12-31"
"4007","1001","Y","Y","37","2024-01-01","2029-12-31"
"4007","1002","Y","Y","37","2024-01-01","2029-12-31"
"4007","1003","Y","Y","37","2024-01-01","2029-12-31"
"4007","1008","Y","Y","37","2024-01-01","2029-12-31"
"4007","1011","Y","Y","37","2024-01-01","2029-12-31"
"4007","1018","Y","Y","37","2024-01-01","2029-12-31"
"4007","1021","Y","Y","37","2024-01-01","2029-12-31"
"4007","1033","Y","Y","37","2024-01-01","2029-12-31"
"4008","1001","Y","Y","38","2024-01-01","2029-12-31"
"4008","1002","Y","Y","38","2024-01-01","2029-12-31"
"4008","1003","Y","Y","38","2024-01-01","2029-12-31"
"4008","1008","Y","Y","38","2024-01-01","2029-12-31"
"4008","1011","Y","Y","38","2024-01-01","2029-12-31"
"4008","1018","Y","Y","38","2024-01-01","2029-12-31"
"4008","1021","Y","Y","38","2024-01-01","2029-12-31"
"4008","1033","Y","Y","38","2024-01-01","2029-12-31"
"4009","1001","Y","Y","39","2024-01-01","2029-12-31"
"4009","1002","Y","Y","39","2024-01-01","2029-12-31"
"4009","1003","Y","Y","39","2024-01-01","2029-12-31"
"4009","1008","Y","Y","39","2024-01-01","2029-12-31"
"4009","1011","Y","Y","39","2024-01-01","2029-12-31"
"4009","1018","Y","Y","39","2024-01-01","2029-12-31"
"4009","1021","Y","Y","39","2024-01-01","2029-12-31"
"4009","1033","Y","Y","39","2024-01-01","2029-12-31"
"4010","1001","Y","Y","40","2024-01-01","2029-12-31"
"4010","1002","Y","Y","40","2024-01-01","2029-12-31"
