PLN_SK,PLN_CD,PLN_NM,PLN_TYPE_ID,PLN_EFF_DT,PLN_TERM_DT,PLN_PREF_FORMULARY_FLG,PLN_DFLT_DRG_STAT,PLN_GRP_NBR,PLN_BIN_NBR,PLN_PCN_NBR,MAX_OOP_AMT,DEDUCTIBLE_AMT,STATE_CD
3001,COMM_HMO,Commercial HMO Gold,HMO,2022-01-01,2026-12-31,Y,COVERED,GRP0001,BIN38830,PCN4012,7000,0,IL
3002,COMM_PPO,Commercial PPO Silver,PPO,2022-01-01,2026-12-31,Y,COVERED,GRP0002,BIN76209,PCN3611,6000,1000,IL
3003,COMM_EPO,Commercial EPO Bronze,EPO,2023-01-01,2026-12-31,N,COVERED,GRP0003,BIN80390,PCN7609,3000,500,IL
3004,MCARE_A,Medicare Advantage Plan A,MAPD,2021-01-01,2026-12-31,Y,COVERED,GRP0004,BIN38992,PCN4495,8000,500,IL
3005,MCARE_B,Medicare Advantage Plan B,MAPD,2021-01-01,2026-12-31,Y,COVERED,GRP0005,BIN53393,PCN6911,5000,250,IL
3006,MCAID_1,Medicaid Standard,MEDICAID,2020-01-01,2026-12-31,N,COVERED,GRP0006,BIN91039,PCN9691,6000,1000,IL
3007,MCAID_2,Medicaid Enhanced,MEDICAID,2020-01-01,2026-12-31,Y,COVERED,GRP0007,BIN95105,PCN1144,3000,1500,IL
3008,EMPL_A,Employer Group Plan A,EMPLOYER,2022-07-01,2026-06-30,Y,COVERED,GRP0008,BIN55351,PCN8301,4000,1500,IL
3009,EMPL_B,Employer Group Plan B,EMPLOYER,2023-01-01,2026-12-31,N,COVERED,GRP0009,BIN90439,PCN4994,3000,1500,IL
3010,PDP_1,Standalone Part D PDP,PDP,2021-01-01,2026-12-31,Y,NOT_COVERED,GRP0010,BIN52065,PCN7248,3000,750,IL
